순위,곡정보,가수,좋아요,이미지 링크
61,"무제(無題) (Untitled, 2014)",G-DRAGON,"316,298",https://cdnimg.melon.co.kr/cm/album/images/100/69/644/10069644_500.jpg/melon/resize/120/quality/80/optimize
62,헤어지자 말해요,박재정,"186,938",https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize
63,마음 따라 뛰는 건 멋지지 않아?,TWS (투어스),"17,941",https://cdnimg.melon.co.kr/cm2/album/images/117/81/966/11781966_20250421102639_500.jpg/melon/resize/120/quality/80/optimize
64,Seven (feat. Latto) - Clean Ver.,정국,"222,394",https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/120/quality/80/optimize
65,Mantra,제니 (JENNIE),"76,207",https://cdnimg.melon.co.kr/cm2/album/images/116/12/674/11612674_20241010154851_500.jpg/melon/resize/120/quality/80/optimize
66,천국보다 아름다운,임영웅,"29,865",https://cdnimg.melon.co.kr/cm2/album/images/117/72/517/11772517_20250414120044_500.jpg/melon/resize/120/quality/80/optimize
67,Hype Boy,NewJeans,"309,237",https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize
68,LOVE ATTACK,RESCENE (리센느),"35,708",https://cdnimg.melon.co.kr/cm2/album/images/115/75/849/11575849_20240826152240_500.jpg/melon/resize/120/quality/80/optimize
69,인사,범진,"145,801",https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/120/quality/80/optimize
70,Small girl (feat. 도경수(D.O.)),이영지,"162,022",https://cdnimg.melon.co.kr/cm2/album/images/115/17/951/11517951_20240620173412_500.jpg/melon/resize/120/quality/80/optimize
71,녹아내려요,DAY6 (데이식스),"94,816",https://cdnimg.melon.co.kr/cm2/album/images/115/80/616/11580616_20240830171855_500.jpg/melon/resize/120/quality/80/optimize
72,봄날,방탄소년단,"516,330",https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize
73,Sticky,KISS OF LIFE,"88,742",https://cdnimg.melon.co.kr/cm2/album/images/115/25/661/11525661_20240628155508_500.jpg/melon/resize/120/quality/80/optimize
74,너와의 모든 지금,재쓰비 (JAESSBEE),"92,436",https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/120/quality/80/optimize
